kernel,C,degree,gamma,best_score
poly,100.0,2.0,N/A,-0.0109
rbf,1.0,N/A,544.7773,-0.1144
poly,1000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,629.5697,-0.107
poly,2000.0,2.0,N/A,-0.0109
rbf,10.0,N/A,576.2534,-0.374
poly,2000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,616.6584,-0.1082
poly,2000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,564.41,-0.1127
poly,1000.0,2.0,N/A,-0.0109
rbf,100.0,N/A,713.3301,-0.3425
poly,1000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,585.2669,-0.1109
poly,2000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,556.584,-0.1134
poly,2000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,603.0916,-0.1094
poly,2000.0,2.0,N/A,-0.0109
rbf,1.0,N/A,549.0873,-0.114
